UKPRN_FoR	UKPRN	FoR	Mean4	Mean3	Mean2	Mean1	GPA
10007856_26	10007856	26	0.0	90.0	10.0	0.0	2.90
10007856_28	10007856	28	0.0	55.0	25.0	20.0	2.35
10007856_29	10007856	29	0.0	80.0	20.0	0.0	2.80
10007856_30	10007856	30	0.0	50.0	50.0	0.0	2.50
10007856_34	10007856	34	20.0	80.0	0.0	0.0	3.20
10007856_35	10007856	35	40.0	40.0	20.0	0.0	3.20
10007856_36	10007856	36	0.0	0.0	60.0	40.0	1.60
10007856_6	10007856	6	76.0	20.0	4.0	0.0	3.72
10007856_7	10007856	7	40.0	50.0	10.0	0.0	3.30
10007856_9	10007856	9	0.0	30.0	50.0	20.0	2.10
10007857_11	10007857	11	0.0	0.0	40.0	60.0	1.40
10007857_13	10007857	13	0.0	20.0	80.0	0.0	2.20
10007857_19	10007857	19	10.0	70.0	20.0	0.0	2.90
10007857_20	10007857	20	0.0	100.0	0.0	0.0	3.00
10007857_26	10007857	26	66.7	33.3	0.0	0.0	3.67
10007857_28	10007857	28	90.0	10.0	0.0	0.0	3.90
10007857_29	10007857	29	20.0	70.0	10.0	0.0	3.10
10007857_3	10007857	3	20.0	80.0	0.0	0.0	3.20
10007857_30	10007857	30	20.0	80.0	0.0	0.0	3.20
10007857_35	10007857	35	40.0	60.0	0.0	0.0	3.40
10007857_4	10007857	4	73.3	26.7	0.0	0.0	3.73
10007857_6	10007857	6	76.0	20.0	4.0	0.0	3.72
10007857_7	10007857	7	40.0	50.0	10.0	0.0	3.30
10007857_8	10007857	8	0.0	70.0	30.0	0.0	2.70
10007858_15	10007858	15	0.0	0.0	40.0	60.0	1.40
10007858_17	10007858	17	0.0	20.0	50.0	30.0	1.90
10007858_28	10007858	28	40.0	50.0	10.0	0.0	3.30
10007858_31	10007858	31	0.0	50.0	10.0	0.0	1.70
10007858_33	10007858	33	50.0	50.0	0.0	0.0	3.50
10007858_34	10007858	34	50.0	50.0	0.0	0.0	3.50
10008010_25	10008010	25	0.0	40.0	0.0	60.0	1.80
10008017_35	10008017	35	20.0	80.0	0.0	0.0	3.20
10008026_21	10008026	21	0.0	0.0	0.0	0.0	0.00
10008574_28	10008574	28	40.0	50.0	10.0	0.0	3.30
10008640_34	10008640	34	0.0	10.0	90.0	0.0	2.10
10008640_35	10008640	35	30.0	20.0	30.0	0.0	2.40
10040812_6	10040812	6	26.7	23.3	50.0	0.0	2.77
10007003_7	10007003	7	63.3	36.7	0.0	0.0	3.63
